,year,sex,suicides_no,population,suicides/100k pop,HDI for year,gdp_per_capita,generation,gdp_for_year
0,1987,1,21,312900,6.71,0.0,796,2,2156624900.0
1,1987,1,16,308000,5.19,0.0,796,5,2156624900.0
2,1987,0,14,289700,4.83,0.0,796,2,2156624900.0
3,1987,1,1,21800,4.59,0.0,796,1,2156624900.0
4,1987,1,9,274300,3.28,0.0,796,0,2156624900.0
5,1987,0,1,35600,2.81,0.0,796,1,2156624900.0
6,1987,0,6,278800,2.15,0.0,796,5,2156624900.0
7,1987,0,4,257200,1.56,0.0,796,0,2156624900.0
8,1987,1,1,137500,0.73,0.0,796,1,2156624900.0
9,1987,0,0,311000,0.0,0.0,796,2,2156624900.0
10,1987,0,0,144600,0.0,0.0,796,1,2156624900.0
11,1987,1,0,338200,0.0,0.0,796,2,2156624900.0
12,1988,0,2,36400,5.49,0.0,769,1,2126000000.0
13,1988,1,17,319200,5.33,0.0,769,2,2126000000.0
14,1988,1,1,22300,4.48,0.0,769,1,2126000000.0
15,1988,1,14,314100,4.46,0.0,769,5,2126000000.0
16,1988,1,4,140200,2.85,0.0,769,1,2126000000.0
17,1988,0,8,295600,2.71,0.0,769,2,2126000000.0
18,1988,0,3,147500,2.03,0.0,769,1,2126000000.0
19,1988,0,5,262400,1.91,0.0,769,0,2126000000.0
20,1988,1,5,279900,1.79,0.0,769,0,2126000000.0
21,1988,0,4,284500,1.41,0.0,769,5,2126000000.0
22,1988,0,0,317200,0.0,0.0,769,2,2126000000.0
23,1988,1,0,345000,0.0,0.0,769,2,2126000000.0
24,1989,1,2,22500,8.89,0.0,833,1,2335124988.0
25,1989,1,18,283600,6.35,0.0,833,0,2335124988.0
26,1989,1,15,318400,4.71,0.0,833,5,2335124988.0
27,1989,1,6,142100,4.22,0.0,833,1,2335124988.0
28,1989,1,12,323500,3.71,0.0,833,2,2335124988.0
29,1989,0,7,288600,2.43,0.0,833,5,2335124988.0
30,1989,0,5,299900,1.67,0.0,833,2,2335124988.0
31,1989,0,2,266300,0.75,0.0,833,0,2335124988.0
32,1989,0,1,149600,0.67,0.0,833,1,2335124988.0
33,1989,0,0,321900,0.0,0.0,833,2,2335124988.0
34,1989,0,0,37000,0.0,0.0,833,1,2335124988.0
35,1989,1,0,349700,0.0,0.0,833,2,2335124988.0
36,1992,1,12,343800,3.49,0.0,251,0,709452584.0
37,1992,1,9,263700,3.41,0.0,251,2,709452584.0
38,1992,1,5,159500,3.13,0.0,251,5,709452584.0
39,1992,1,7,245500,2.85,0.0,251,0,709452584.0
40,1992,0,7,292400,2.39,0.0,251,2,709452584.0
41,1992,0,4,267400,1.5,0.0,251,0,709452584.0
42,1992,0,2,323100,0.62,0.0,251,0,709452584.0
43,1992,0,1,164900,0.61,0.0,251,5,709452584.0
44,1992,0,0,336700,0.0,0.0,251,4,709452584.0
45,1992,0,0,38700,0.0,0.0,251,1,709452584.0
46,1992,1,0,362900,0.0,0.0,251,4,709452584.0
